username, created_at, lng, lat, text
marcwhitt, Thu Jun 11 10:08:18 +0000 2020, -85.768241, 37.822244, Congrats, @GA_uky! “Grehan Associates, a student-run marketing and communications firm at @universityofky, has been… https://t.co/m9UNJ9KRLv 
velzina, Thu Jun 11 10:08:18 +0000 2020, -83.804475, 27.698682, Powerful https://t.co/iCSwaCN0jm 
MJBurroughs, Thu Jun 11 10:08:18 +0000 2020, -75.600576, 38.360422, Somewhere in America right now a loser is jerking off to the thought of a Confederate Flag on the wing of a Kyle Larson sprint car. 
lauriefor, Thu Jun 11 10:08:18 +0000 2020, -83.804475, 27.698682, When you wake up thinking it's Friday https://t.co/CrKdpaUynp 
ricktuc50364369, Thu Jun 11 10:08:19 +0000 2020, -86.006830, 34.003125, @SJN72308453 @MarkDice Go to Argentina or Cuba just want u to be happy 
j_kiccs_lover24, Thu Jun 11 10:08:19 +0000 2020, -78.657837, 35.843981, @Hell_Vell27 IM WAAB 😂😂😂 NIGGAS BETTER STOP RAPN DAT TOUGH SHIT WEN DEY KNOW DEY SOLF AS FUCC 🤦🏾‍♂️ 
_shykiaa, Thu Jun 11 10:08:19 +0000 2020, -84.475291, 33.657586, i shoulda did this tf😂😂😂 
Jamie__Kristen, Thu Jun 11 10:08:19 +0000 2020, -119.025163, 35.346902, A few days ago a video of a racist white woman verbally attacking a protester and her daughter went viral. The woma… https://t.co/DGDtM3JHK7 
quis__custodiet, Thu Jun 11 10:08:20 +0000 2020, -118.220740, 34.028730, 1008ZN221LA LAPD AIR SUPPORT DIVISIONSquawk: 1200N34.0287 W118.2207Altitude: 1075ftCourse: 160ºGroundspeed: 7… https://t.co/cpdR9CQf16 
INeededTheMoney, Thu Jun 11 10:08:21 +0000 2020, -81.150305, 43.311775, @AnonymousXSourc @realDonaldTrump Gross 
sportingjim, Thu Jun 11 10:08:21 +0000 2020, -82.936399, 39.964856, YES! 
hot4planet, Thu Jun 11 10:08:21 +0000 2020, -73.948775, 40.655138, @HeyStevieLee Enterprise 
jenpryorhalter, Thu Jun 11 10:08:21 +0000 2020, -81.765206, 30.144644, “Leadership is about empathy. It is about having the ability to relate to and connect with people for the purpose o… https://t.co/V0t2MhDoTS 
NickGs_, Thu Jun 11 10:08:21 +0000 2020, -84.266174, 30.476216, Great morning 😎 
majestickiller8, Thu Jun 11 10:08:22 +0000 2020, -76.060728, 38.560729, @Emolystic I'll be the loser😣 I'm sorry I couldn't help it 
Michael28940056, Thu Jun 11 10:08:22 +0000 2020, -110.915573, 32.189391, @AVenezuelan19 You're better off. The panda will kill you. 
WalkerJohnson, Thu Jun 11 10:08:22 +0000 2020, -83.939537, 35.828923, 🚔🚓🚓🚔The president's demand comes as protesters have established a four-block area of the city they call the 'autono… https://t.co/LXgXTYPFdJ 
marine_outlet, Thu Jun 11 10:08:22 +0000 2020, -82.497991, 27.284002, Thank you to the Davis family for sharing some great shots today out on the out in their Carolina Skiff JLS 162 try… https://t.co/Jf0w3KMpR6 
ritchie_atc, Thu Jun 11 10:08:22 +0000 2020, -84.123885, 43.611616, @ConQGamingShop Good morning man! 
Emerleeey, Thu Jun 11 10:08:22 +0000 2020, -82.678001, 41.405842, I just want my a/c and fan so I can sleep peacefully ☹️ 
DebiDebbieDebby, Thu Jun 11 10:08:22 +0000 2020, -77.522374, 37.643906, Time is fleeting. My first and only niece just graduated and is off the college in the fall. #Classof2020 https://t.co/2YTKVpMuXv 
